Variable,Correlation,PValue
relative_humidity,0.03542954652783378,0.56805759515115
vapor_pressure,0.027366309764731558,0.6592658513277115
dew_point,0.017919170615568834,0.7728236386919946
sunshine_duration,0.017860432087389876,0.7735480731913035
solar_radiation,0.01786043208738987,0.7735480731913035
temperature,0.01772283857840875,0.7752458095204858
atmospheric_pressure,0.01201333086445075,0.8465439480066574
wind_direction,0.0072415428363734775,0.9071329138717048
precipitation,-0.04223039137127116,0.4961285123346581
wind_speed,-0.12402429988401217,0.044892544699153485
